Crash ID,Degree of crash - detailed,Reporting year,Year of crash,Month of crash,Day of week of crash,Two-hour intervals,Street of crash,Street type,Town,Route no.,School zone location,School zone active,Type of location,Latitude,Longitude,LGA,Urbanisation,Conurbation 1,Alignment,Street lighting,Road surface,Surface condition,Weather,Natural lighting,Signals operation,Other traffic control,Speed limit,Road classification,RUM - code,DCA - code,First impact type,Key TU type,Other TU type,No. of traffic units involved,No. killed,No. seriously injured,No. moderately injured,No. minor-other injured
1220987,0,2020,2020,4,0,11,2261,17,35,2252,0,1,2,-34.858896,148.286952,20,1,0,1,0,0,0,0,0,0,7,110,2,9859,9859,8,29,40,1,1,0,0,0
1220988,0,2020,2020,4,0,11,3371,17,9,3342,0,1,9,-29.745446,152.993909,18,1,0,1,0,0,0,0,0,0,7,100,2,1220,1220,9,5,28,2,1,0,1,0
1221458,0,2020,2020,4,0,8,57,27,9,143,0,1,1,-34.534399,149.563894,74,1,0,0,0,0,0,0,2,0,7,100,2,782,957,5,16,40,1,1,0,0,0
1221459,0,2020,2020,4,3,11,72,27,193,56,0,1,10,-33.79652,151.065251,61,0,2,1,2,0,0,0,0,2,9,60,2,1220,1220,9,5,28,2,1,0,1,0
1222080,0,2020,2020,4,6,1,21,31,65,18,0,1,1,-32.926607,151.782846,48,0,2,1,2,0,2,6,0,0,7,40,2,9859,9859,8,16,40,1,1,0,0,0
1222087,0,2020,2020,4,0,6,103,36,24,103,0,1,1,-32.643762,151.868062,57,1,0,0,0,0,3,4,2,0,7,90,1,1259,5151,8,34,40,1,1,0,0,0
1222089,0,2020,2020,4,5,1,36,27,37,83,0,1,1,-29.441917,153.212872,18,1,0,1,0,0,2,6,0,0,7,100,1,9859,9859,8,5,40,1,1,0,0,0
1222090,0,2020,2020,4,3,2,2261,17,35,2252,0,1,3,-34.180834,150.723855,79,1,2,1,0,0,3,3,0,0,7,110,2,9859,9859,8,9,40,1,1,1,0,0
1222341,0,2020,2020,4,1,2,11,27,36,34609,0,1,10,-33.80152,150.951136,21,0,2,1,2,0,0,0,0,2,9,50,0,1383,1383,1,22,0,2,1,0,1,0
1222628,0,2020,2020,4,1,10,71,36,12,139,0,1,1,-34.249547,145.980776,28,1,0,0,0,0,0,0,0,0,7,100,2,368,368,9,29,28,2,1,0,1,0
1222629,0,2020,2020,4,1,9,3,27,8,39,0,1,1,-32.422842,149.49013,44,1,0,0,0,0,0,0,2,0,7,100,2,3775,3775,0,30,10,2,1,1,1,0
1222630,0,2020,2020,4,5,1,9,27,35,34609,0,1,1,-30.437998,152.885623,6,1,0,1,0,0,0,0,0,0,7,100,0,9859,9859,8,0,40,1,3,0,0,0
1222631,0,2020,2020,4,4,5,2,27,2,34609,0,1,1,-32.776594,149.545524,44,2,1,0,0,0,0,3,2,0,7,60,0,3775,3775,0,5,19,2,1,0,1,0
1222632,0,2020,2020,4,2,7,478,17,20,480,0,1,1,-33.409739,151.460839,16,2,2,0,1,0,0,3,2,0,7,70,2,3775,3775,0,0,13,2,1,1,1,0
1222633,0,2020,2020,4,6,5,20,31,283,34609,0,1,1,-33.830942,151.004579,21,0,2,1,1,0,0,0,2,0,7,50,0,1981,1981,4,18,13,2,1,0,0,0
1222634,0,2020,2020,4,1,5,3,27,155,34609,0,1,1,-33.131146,148.121335,53,1,0,1,0,0,0,0,2,0,7,100,0,475,475,5,5,40,1,1,0,0,0
1222635,0,2020,2020,4,0,8,481,17,10,483,0,1,1,-32.957689,148.23177,53,1,0,1,0,0,0,0,3,0,7,110,2,101,101,8,0,10,2,1,0,2,0
1222636,0,2020,2020,4,5,7,2209,17,22,2205,0,1,1,-36.054034,150.059419,23,1,0,0,0,0,3,0,2,0,7,100,2,3775,3775,0,10,10,2,2,0,0,0
1223161,0,2020,2020,3,2,9,8,27,36,7,0,1,1,-33.792737,151.028609,54,0,2,0,1,0,0,0,3,0,7,50,1,186,186,9,10,28,8,4,3,1,0
1223680,0,2020,2020,3,4,2,168,10,387,260,0,1,1,-33.946063,151.177616,4,0,2,1,2,0,3,0,1,0,7,70,2,3775,3775,0,5,0,2,1,4,0,0
1223682,0,2020,2020,3,0,8,2,27,6,34609,0,1,1,-35.507987,146.180978,51,1,0,1,0,0,0,0,2,0,7,100,0,4026,4026,8,10,40,1,1,0,0,0
1223683,0,2020,2020,4,1,9,34,1,201,34609,0,1,7,-34.87653,150.601335,63,2,1,1,1,0,0,0,3,0,0,50,0,6545,6545,4,22,13,2,1,0,0,0
1223684,0,2020,2020,3,1,3,3371,17,16,3342,0,1,2,-28.378389,153.524453,72,1,0,1,0,0,0,0,2,0,7,110,2,2040,2040,9,29,28,2,1,0,1,0
1224222,0,2020,2020,3,5,8,102,27,16,34609,0,1,9,-34.566547,150.842873,62,0,2,1,1,0,0,0,2,1,9,60,0,591,591,1,22,5,2,1,0,1,0
1224223,0,2020,2020,3,6,0,42,31,532,34609,0,1,0,-33.875615,151.207383,69,0,2,1,2,0,0,0,0,0,7,40,0,121,121,9,8,28,2,1,0,1,0
1224226,0,2020,2020,3,4,10,2209,17,74,2205,0,1,2,-34.438586,150.858564,80,0,2,1,2,0,0,0,0,0,7,60,2,368,368,9,10,28,2,1,0,1,0
1224229,0,2020,2020,3,2,11,255,27,37,62,0,1,10,-32.804502,151.509445,17,2,1,1,2,0,0,0,0,0,7,60,2,1220,1220,9,5,28,2,1,0,1,0
1224230,0,2020,2020,3,3,9,191,17,13,189,0,1,1,-32.526498,150.951142,64,1,0,1,0,0,0,3,3,0,7,100,2,9859,9859,8,0,40,1,1,0,0,0
1224847,0,2020,2020,3,6,2,1,31,100,34609,0,1,9,-33.893891,150.886552,24,0,2,1,2,0,0,0,0,0,7,60,0,2040,2040,9,5,28,2,1,0,1,0
1224848,0,2020,2020,3,4,10,3,18,49,34609,0,1,1,-34.48009,147.545718,51,1,0,1,0,2,0,0,0,0,7,100,0,4026,4026,8,10,40,1,1,0,1,0
1224849,0,2020,2020,3,5,7,2,31,61,34609,0,1,1,-33.760319,151.124291,36,0,2,1,1,0,0,0,2,0,7,50,0,368,368,9,5,28,2,1,0,1,0
1224850,0,2020,2020,3,0,7,12,27,2,34609,0,1,1,-34.432977,150.830795,80,0,2,1,1,0,0,3,2,0,7,60,0,9859,9859,8,5,40,1,1,0,0,0
1224851,0,2020,2020,3,2,2,27,31,47,40,0,1,10,-33.770105,151.2851,50,0,2,1,2,0,3,4,0,0,15,50,1,2040,2040,9,33,28,2,1,0,0,0
1224853,0,2020,2020,3,3,8,78,27,11,228,0,1,1,-33.083396,151.127735,17,2,1,0,0,0,0,0,2,0,7,60,1,3775,3775,0,16,0,2,1,0,1,0
1225363,0,2020,2020,3,4,4,2209,17,11,2205,0,1,1,-35.384622,150.455447,63,2,1,0,0,0,0,0,2,0,7,80,2,3775,3775,0,5,35,3,1,1,1,0
1225406,0,2020,2020,3,1,9,7,27,61,34609,0,1,1,-35.145339,149.181962,82,1,0,1,0,0,0,0,2,0,7,100,0,9859,9859,8,5,40,1,1,0,0,0
1225407,0,2020,2020,3,2,1,103,36,3,157,0,1,1,-29.477384,152.976254,18,1,0,0,0,0,3,3,0,0,7,100,2,3775,3775,0,5,31,2,2,0,1,0
1225408,0,2020,2020,3,5,5,113,27,78,111,0,1,1,-33.85031,150.785678,55,0,2,1,0,0,0,0,2,0,7,80,2,3775,3775,0,5,10,2,1,0,1,0
1225411,0,2020,2020,3,6,11,24,31,201,160,0,1,1,-34.004038,150.877766,13,0,2,1,1,0,0,0,0,0,7,60,2,3775,3775,0,22,27,2,1,1,0,0
1225412,0,2020,2020,3,4,7,2126,17,107,2149,0,1,10,-33.884256,151.198535,69,0,2,1,1,0,0,0,2,2,7,50,2,1945,1945,5,16,40,2,1,0,1,0
1225417,0,2020,2020,3,2,0,16,36,2,56,0,1,9,-32.414069,147.500172,51,1,0,0,0,0,0,0,0,0,7,100,1,2585,4009,8,10,40,1,1,0,0,0
